,stock_price_at_STO_offer,STO_strike,STO_days_long,STO_offer_ARR,stock_price_at_open,STO_ask_fee%,STO_offer_strike_delta%,45 day SMA,30 day SMA,15 day SMA,10 day SMA,Yearly Min,Yearly Max,1 days old,2 days old,3 days old,4 days old,5 days old,RSI,MFI,MACD,45 day vel,30 day vel,15 day vel,10 day vel,5 day vel,2 day vel,ER - Expiry,RandomForest_d7,RandomForest_d15,RandomForest_d19,KNNeighbors_2,AdaBoost,GaussianNB,SVC linear
1481,80.13,81.0,14.0,0.1773234565260024,80.2,0.0068014476475726955,0.010857356795207844,81.73755579999991,81.45566686666668,81.55533346666668,81.10699999999989,79.5,95.120003,80.849998,82.099998,80.730003,80.699997,81.529999,38.494536999884005,42.60113613945323,-0.06623622859372498,-0.025338603820816926,-0.0002692053392659069,-0.1509286214285716,-0.07048489696969751,-0.10399929999999956,-0.7299950000000024,8.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2144,76.27,74.5,7.0,1.326303171065201,76.62,0.02543595122590796,-0.023207027664874737,80.46155579999996,79.9146669666667,79.2413334,78.77200079999989,76.260002,92.58000200000001,77.470001,78.040001,78.230003,78.209999,78.970001,24.706330732033308,37.060940282618915,-0.38209070439087145,-0.08366138932806329,-0.09947940756395997,-0.24357119642857145,-0.42836347878787856,-0.4659995999999993,-1.2099989999999963,64.0,,,,,,,
5421,88.83,87.0,15.0,0.6588052084505985,89.11,0.02707418664865473,-0.02060114826072271,85.0228892444443,86.18133366666662,87.64133406666673,87.91200109999986,76.099998,89.0,86.779999,88.010002,89.0,88.370003,88.529999,56.94765667945966,48.65928200801223,1.0034439260718382,0.16455073491436106,0.19910568943270304,0.08096439285714263,-0.018302963636363783,-0.4360000999999983,0.5200040000000001,-13.0,,,,,,,
613,81.47,80.0,21.0,0.4213499564549031,81.53,0.024242052289186206,-0.01804345157726769,82.04266715555545,81.87766753333328,82.28133400000006,82.24800109999991,80.489998,95.120003,82.290001,82.58000200000001,82.290001,81.93,81.75,54.49921514755011,48.689814731636794,0.2315081388467239,0.00327802028985516,0.04660953592880981,-0.02524990357142828,-0.05781840606060606,-0.036000000000001364,-0.5400010000000037,43.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
1018,82.93,81.0,32.0,0.36448284697938016,83.05,0.031954660557096344,-0.02327263957554572,81.76400062222211,81.75533376666662,81.27866720000003,80.8340003999999,79.5,95.120003,80.620003,80.910004,81.209999,80.120003,79.5,51.259426232652416,33.2562790680138,-0.12925559450047827,-0.023885378919631113,-0.058651812013348174,-0.10957144642857196,0.0367273333333332,0.3429992000000013,1.509994000000006,17.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
5165,88.71,87.0,7.0,1.260809700951737,88.77,0.02417991207304701,-0.01927629354075069,84.41955586666653,85.53866706666662,87.40066686666673,87.74500049999986,76.099998,88.529999,88.529999,88.300003,88.25,87.150002,87.43,61.182948393764676,50.8041276585834,1.0656321538648776,0.17327667852437428,0.22720797463848721,0.1355001785714286,0.16454577575757542,0.27200009999999963,-0.1599960000000067,1.0,,,,,,,
5155,88.47,90.5,22.0,0.13877328729821098,88.67,0.008364417316604499,0.022945631287442085,84.23888908888875,85.36066693333328,87.28933313333339,87.51600039999987,76.099998,88.529999,88.300003,88.25,87.150002,87.43,88.0,63.28002430533075,58.19079508675223,1.0536692444685238,0.17342028708827412,0.2238664751946607,0.12532160714285748,0.21369704242424212,0.3349998999999997,0.22999599999999987,-13.0,,,,,,,
1134,83.3,81.5,7.0,1.2081118161550333,83.45,0.023169267707082834,-0.02160864345738292,81.73022293333322,81.81400046666663,81.35400033333335,81.47100069999988,79.5,95.120003,82.07,82.959999,82.93,82.129997,80.620003,53.046606092551876,37.74268420945863,0.010509946510989288,-0.0004018677206851579,-0.030611781090100227,0.11796431428571416,0.33218169090909094,-0.05999900000000196,0.1900020000000069,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,80.66,79.5,15.0,0.401231506736094,80.7,0.016488966030250435,-0.014381353830895074,81.02688904444439,80.72466683333336,80.48600006666669,80.27300039999987,79.5,92.58000200000001,80.16999799999999,80.040001,79.599998,80.83000200000001,80.370003,46.59291078473069,47.88311928532094,-0.24880172375128035,-0.03081818880105401,-0.04113016796440495,-0.06514291785714278,-0.016303454545454406,0.0109991999999977,0.4300000000000068,71.0,,,,,,,
5271,88.71,88.0,35.0,0.22747475723464905,88.77,0.021812647954007443,-0.008003607259609895,84.41955586666653,85.53866706666662,87.40066686666673,87.74500049999986,76.099998,88.529999,88.529999,88.300003,88.25,87.150002,87.43,61.182948393764676,50.8041276585834,1.0656321538648776,0.17327667852437428,0.22720797463848721,0.1355001785714286,0.16454577575757542,0.27200009999999963,-0.1599960000000067,-27.0,,,,,,,
