,stock_price_at_STO_offer,STO_ask_fee,STO_ask_fee_type,STO_offer_datetime,STO_strike,STO_expiry_datetime,STO_days_long,STO_offer_ARR,STO_offer_TQI,STO_offer_strike_delta,STO_xtn_state,STO_contracts,option_type,stock_price_BTC_offer,BTC_bid_fee,BTC_bid_fee_type,BTC_offer_datetime,BTC_contracts,stock_price_at_open,STO_open_fee,STO_open_commsn,STO_open_proceeds,STO_open_datetime,STO_open_ARR,STO_open_TQI,STO_open_strike_delta,stock_price_at_close,STO_close_strike_delta,BTC_close_commsn,BTC_close_proceeds,STO_close_datetime,STO_close_ARR,STO_close_TQI,Called_close_fee,Called_close_commsn,Called_close_proceeds,STO_xtn_net_proceeds
33,81.94,0.65,Mid,2017-05-05 15:30:00,81.5,2017-05-12 16:00:00,7,0.413630182363402,-0.181997280239896,-0.439999999999998,ClosedCalled,10,C,,,,,,82.01,0.65,10,640,2017-05-05 16:00:00,0.413277126482833,-0.210771334506247,-0.510000000000005,82.53,,,,2017-05-12 16:00:00,,,-1.03,10,-1040,-400.000000000001
34,81.82,0.515,Mid,2017-05-01 11:30:00,82,2017-05-12 16:00:00,11,0.208856469856225,0.037594164574122,0.180000000000007,ClosedCalled,10,C,,,,,,82.1,0.515,10,505,2017-05-01 15:30:00,0.208144170080833,-0.020814417008082,-0.099999999999994,82.53,,,,2017-05-12 16:00:00,,,-0.530000000000001,10,-540.000000000001,-35.0000000000011
35,81.81,0.49,Mid,2017-05-01 13:30:00,82,2017-05-12 16:00:00,11,0.198742096431865,0.037760998322054,0.189999999999998,ClosedCalled,10,C,,,,,,82.1,0.49,10,480,2017-05-01 15:30:00,0.198040084154579,-0.019804008415457,-0.099999999999994,82.53,,,,2017-05-12 16:00:00,,,-0.530000000000001,10,-540.000000000001,-60.0000000000011
36,81.92,0.51,Mid,2017-05-02 15:30:00,82,2017-05-12 16:00:00,10,0.22723388671875,0.0181787109375,0.079999999999998,ClosedCalled,10,C,,,,,,82.04,0.51,10,500,2017-05-02 16:00:00,0.226901511457825,-0.009076060458314,-0.040000000000006,82.53,,,,2017-05-12 16:00:00,,,-0.530000000000001,10,-540.000000000001,-40.0000000000011
37,82.58,0.885,Mid,2017-05-03 11:30:00,82,2017-05-12 16:00:00,9,0.434629046581093,-0.252084847017033,-0.579999999999998,ClosedCalled,10,C,,,,,,82.87,0.885,10,875,2017-05-03 15:30:00,0.433108080929971,-0.376804030409076,-0.870000000000004,82.53,,,,2017-05-12 16:00:00,,,-0.530000000000001,10,-540.000000000001,334.999999999999
38,82.57,0.88,Mid,2017-05-03 13:30:00,82,2017-05-12 16:00:00,9,0.432225855503075,-0.24636873763675,-0.569999999999993,ClosedCalled,10,C,,,,,,82.87,0.88,10,870,2017-05-03 15:30:00,0.430661142619632,-0.374675194079082,-0.870000000000004,82.53,,,,2017-05-12 16:00:00,,,-0.530000000000001,10,-540.000000000001,329.999999999999
39,81.53,0.345,Mid,2017-05-04 13:30:00,82,2017-05-12 16:00:00,8,0.193065436035815,0.090740754936833,0.469999999999999,ClosedCalled,10,C,,,,,,81.72,0.345,10,335,2017-05-04 15:30:00,0.192616556534508,0.053932635829663,0.280000000000001,82.53,,,,2017-05-12 16:00:00,,,-0.530000000000001,10,-540.000000000001,-205.000000000001
40,81.82,0.335,Mid,2017-05-05 13:30:00,82,2017-05-12 16:00:00,7,0.213491287495198,0.038428431749137,0.180000000000007,ClosedCalled,10,C,,,,,,81.94,0.335,10,325,2017-05-05 15:30:00,0.21317863244883,0.01279071794693,0.060000000000002,82.53,,,,2017-05-12 16:00:00,,,-0.530000000000001,10,-540.000000000001,-215.000000000001
41,81.94,0.36,Mid,2017-05-05 15:30:00,82,2017-05-12 16:00:00,7,0.229087485616653,0.013745249137,0.060000000000002,ClosedCalled,10,C,,,,,,82.01,0.36,10,350,2017-05-05 16:00:00,0.228891946975108,-0.002288919469752,-0.010000000000005,82.53,,,,2017-05-12 16:00:00,,,-0.530000000000001,10,-540.000000000001,-190.000000000001
42,81.82,0.31,Mid,2017-05-01 11:30:00,82.5,2017-05-12 16:00:00,11,0.125719428457145,0.08548921135086,0.680000000000007,ClosedCalled,10,C,,,,,,82.1,0.31,10,300,2017-05-01 15:30:00,0.12529066548555,0.050116266194221,0.400000000000006,82.53,,,,2017-05-12 16:00:00,,,-0.030000000000001,10,-40.0000000000011,259.999999999999
