Unnamed: 0,stock_price_at_STO_offer,STO_ask_fee,STO_ask_fee_type,STO_offer_datetime,STO_strike,STO_expiry_datetime,STO_days_long,STO_offer_ARR,STO_offer_TQI,STO_offer_strike_delta,STO_xtn_state,STO_contracts,option_type,stock_price_BTC_offer,BTC_bid_fee,BTC_bid_fee_type,BTC_offer_datetime,BTC_contracts,stock_price_at_open,STO_open_fee,STO_open_commsn,STO_open_proceeds,STO_open_datetime,STO_open_ARR,STO_open_TQI,STO_open_strike_delta,stock_price_at_close,STO_close_strike_delta,BTC_close_commsn,BTC_close_proceeds,STO_close_datetime,STO_close_ARR,STO_close_TQI,Called_close_fee,Called_close_commsn,Called_close_proceeds,STO_xtn_net_proceeds
5008,5008,80.08,1.06,Mid,2017-09-18 15:30:00,80.0,2017-10-20 16:00:00,32.0,0.15098183066933069,-0.012078546453546198,-0.0799999999999983,ClosedCalled,10.0,C,,,,,,80.1,1.06,10.0,1050.0,2017-09-18 16:00:00,0.1509441323345818,-0.015094413233457319,-0.09999999999999433,83.09,,,,2017-10-20 16:00:00,,,-3.0900000000000034,10.0,-3100.000000000004,-2050.000000000004
5009,5009,80.11,1.1,Mid,2017-09-19 13:30:00,80.0,2017-10-20 16:00:00,31.0,0.16167286110630144,-0.017784014721693067,-0.10999999999999943,ClosedCalled,10.0,C,,,,,,80.19,1.1,10.0,1090.0000000000002,2017-09-19 15:30:00,0.161511571308465,-0.03068719854860798,-0.18999999999999773,83.09,,,,2017-10-20 16:00:00,,,-3.0900000000000034,10.0,-3100.000000000004,-2010.0000000000034
5010,5010,80.46,1.26,Mid,2017-09-20 15:30:00,80.0,2017-10-20 16:00:00,30.0,0.1905294556301268,-0.08764354958985712,-0.4599999999999938,ClosedCalled,10.0,C,,,,,,80.51,1.26,10.0,1250.0,2017-09-20 16:00:00,0.19041112905229166,-0.09710967581666972,-0.5100000000000051,83.09,,,,2017-10-20 16:00:00,,,-3.0900000000000034,10.0,-3100.000000000004,-1850.0000000000039
5011,5011,79.86,0.84,Mid,2017-09-21 15:30:00,80.0,2017-10-20 16:00:00,29.0,0.1323868494002435,0.018534158916034167,0.14000000000000054,ClosedCalled,10.0,C,,,,,,79.89,0.84,10.0,830.0,2017-09-21 16:00:00,0.13233713597575975,0.0145570849573335,0.10999999999999943,83.09,,,,2017-10-20 16:00:00,,,-3.0900000000000034,10.0,-3100.000000000004,-2270.000000000004
5012,5012,79.77,0.8049999999999999,Mid,2017-09-22 13:30:00,80.0,2017-10-20 16:00:00,28.0,0.13155008148426728,0.030256518741382,0.230000000000004,ClosedCalled,10.0,C,,,,,,79.84,0.8049999999999999,10.0,795.0,2017-09-22 15:30:00,0.13143474448897796,0.021029559118236025,0.1599999999999966,83.09,,,,2017-10-20 16:00:00,,,-3.0900000000000034,10.0,-3100.000000000004,-2305.000000000004
5013,5013,80.6,1.28,Mid,2017-09-25 11:30:00,80.0,2017-10-20 16:00:00,25.0,0.2318610421836229,-0.1391166253101724,-0.5999999999999943,ClosedCalled,10.0,C,,,,,,80.86,1.28,10.0,1270.0,2017-09-25 13:30:00,0.2311155082859263,-0.19875933712589647,-0.8599999999999994,83.09,,,,2017-10-20 16:00:00,,,-3.0900000000000034,10.0,-3100.000000000004,-1830.0000000000039
5014,5014,80.86,1.465,Mid,2017-09-25 13:30:00,80.0,2017-10-20 16:00:00,25.0,0.2645189215928765,-0.2274862725698737,-0.8599999999999994,ClosedCalled,10.0,C,,,,,,80.92,1.465,10.0,1455.0,2017-09-25 15:30:00,0.26432278793870484,-0.2431769649036089,-0.9200000000000016,83.09,,,,2017-10-20 16:00:00,,,-3.0900000000000034,10.0,-3100.000000000004,-1645.0000000000034
5015,5015,80.92,1.54,Mid,2017-09-25 15:30:00,80.0,2017-10-20 16:00:00,25.0,0.27785467128027685,-0.25562629757785515,-0.9200000000000016,ClosedCalled,10.0,C,,,,,,80.97,1.54,10.0,1530.0,2017-09-25 16:00:00,0.27768309250339634,-0.2693525997282941,-0.9699999999999988,83.09,,,,2017-10-20 16:00:00,,,-3.0900000000000034,10.0,-3100.000000000004,-1570.0000000000034
5016,5016,80.77,1.4249999999999998,Mid,2017-09-26 11:30:00,80.0,2017-10-20 16:00:00,24.0,0.26831589699145714,-0.20660324068342087,-0.769999999999996,ClosedCalled,10.0,C,,,,,,80.97,1.4249999999999998,10.0,1414.9999999999998,2017-09-26 15:30:00,0.2676531431394343,-0.25962354884525096,-0.9699999999999988,83.09,,,,2017-10-20 16:00:00,,,-3.0900000000000034,10.0,-3100.000000000004,-1685.0000000000039
5017,5017,80.8,1.44,Mid,2017-09-26 13:30:00,80.0,2017-10-20 16:00:00,24.0,0.2710396039603961,-0.21683168316831608,-0.7999999999999972,ClosedCalled,10.0,C,,,,,,80.97,1.44,10.0,1430.0,2017-09-26 15:30:00,0.2704705446461653,-0.26235642830678,-0.9699999999999988,83.09,,,,2017-10-20 16:00:00,,,-3.0900000000000034,10.0,-3100.000000000004,-1670.0000000000034
